Running log until ^C
Timestamp                       Thread     Type        Activity             PID    TTL  
2024-03-25 07:38:13.560311-0700 0x29a39aa  Default     0x364e66a            48564  0    locationd: [com.apple.locationd.Position:GeneralCLX] MovingApDetector, received location: lat, 37.78583400, lon, -122.40641700, alt, 0.0, acc, 5.0, vacc, -1.0, timestamp, 733070293.6, age, 0.0, type, 1, success: yes
2024-03-25 07:38:13.560277-0700 0x29a39a9  Default     0x364e66a            48564  0    locationd: [com.apple.locationd.Core:Core] {"msg":"#pla #zone-relevance-tracker, location notification", "notification":5, "_currentLocation":'00 00 00 00 FF FF 00 00 DD 0A 61 35 96 E4 42 40 76 E2 72 BC 02 9A 5E C0 00 00 00 00 00 00 14 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 27 F8 46 EA E1 D8 C5 41 64 00 00 00 00 00 00 00 00 00 F0 BF 01 00 00 00 DD 0A 61 35 96 E4 42 40 76 E2 72 BC 02 9A 5E C0 00 00 00 00 00 00 F0 BF FF FF FF 7F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00', "NewLocation":'00 00 00 00 FF FF 00 00 DD 0A 61 35 96 E4 42 40 76 E2 72 BC 02 9A 5E C0 00 00 00 00 00 00 14 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF F4 88 C7 EA E1 D8 C5 41 64 00 00 00 00 00 00 00 00 00 F0 BF 01 00 00 00 DD 0A 61 35 96 E4 42 40 76 E2 72 BC 02 9A 5E C0 00 00 00 00 00 00 F0 BF FF FF FF 7F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00'}
2024-03-25 07:38:13.562205-0700 0x29a39a9  Default     0x364e66a            48564  0    locationd: [com.apple.locationd.Utility:QA] os_transaction created: (0x700000b38778) wifi1Event
2024-03-25 07:38:13.562251-0700 0x29a39a9  Default     0x364e66a            48564  0    locationd: [com.apple.locationd.Position:WifiPosition] @WifiLogic, handleInput, System::LeechLocation
2024-03-25 07:38:13.562398-0700 0x29a39a9  Default     0x364e66a            48564  0    locationd: [com.apple.locationd.Position:WifiPosition] {"msg":"CLWifi1SystemLogic::apply", "event":elapsed, "begin_mach":684386043554231, "end_mach":684386043662012, "elapsed_s":"0.000107781", "event":System::LeechLocation, "now_s":"733070293.562278032"}
2024-03-25 07:38:13.562498-0700 0x29a39a9  Default     0x364e66a            48564  0    locationd: [com.apple.locationd.Utility:QA] os_transaction releasing: (0x700000b38778) wifi1Event
2024-03-25 07:38:13.562626-0700 0x29a39a9  Default     0x364e66a            48564  0    locationd: [com.apple.locationd.Utility:QA] os_transaction created: (0x700000b38778) wifi1Event
2024-03-25 07:38:13.562699-0700 0x29a39a9  Default     0x364e66a            48564  0    locationd: [com.apple.locationd.Position:WifiPosition] @WifiLogic, handleInput, System::LeechLocation
2024-03-25 07:38:13.562943-0700 0x29a39a9  Default     0x364e66a            48564  0    locationd: [com.apple.locationd.Position:WifiPosition] {"msg":"CLWifi1SystemLogic::apply", "event":elapsed, "begin_mach":684386044092089, "end_mach":684386044206641, "elapsed_s":"0.000114552", "event":System::LeechLocation, "now_s":"733070293.562816978"}
2024-03-25 07:38:13.563115-0700 0x29a39a9  Default     0x364e66a            48564  0    locationd: [com.apple.locationd.Utility:QA] os_transaction releasing: (0x700000b38778) wifi1Event
